ID,Tool,Research Theme,Guiding Question,Discipline(s),Research Type,Status,Lead / Collaborator(s),Potential Partner Institution(s),Output Type,Notes / Links
R18,Value Gradient,Self-Worth Calibration,Can mapping worth as a gradient reduce internalized shame or hierarchy thinking?,"Psychology, Sociology",Intervention,Open,,,Pilot Study,
R19,,Capitalism & Connection,How do profit-driven systems disconnect empathy from value?,"Sociology, Ethics",Theoretical,Open,,,Paper,
R20,,Repairing Economic Trauma,Can community-based reflection on worth restore emotional safety after financial trauma?,Community Psychology,Intervention,Open,,,Qualitative Study,
R21,Bias Gradient,Emotional Roots of Bias,Does emotional regulation training reduce bias activation?,"Psychology, Neuroscience",Validation,Open,,,Study,
R22,Empathy Circuit Tool,Perspective-Taking,Can interactive empathy mapping increase awareness of hidden bias?,"Education, AI Ethics",Experimental,Open,,,Pilot Study,
R23,,Defensive Perception,How do fear-based emotional states distort moral judgment?,"Neuroscience, Ethics",Theoretical,Open,,,Paper,
R24,,Bias Recovery Practices,Can recognizing emotional triggers of bias accelerate behavioral change?,"Therapy, Organizational Studies",Intervention,Open,,,Report,
R25,Accountability Gradient,Power Misuse & Avoidance,Does practicing accountability mapping reduce control behaviors in group settings?,"Leadership, Psychology",Intervention,Open,,,Pilot Study,
R26,Control Gradient,Emotional Regression,Can early detection of control gradients prevent escalation into abusive dynamics?,"Sociology, Clinical Psychology",Validation,Open,,,Comparative Study,
R27,,Emotional Power Dynamics,How does emotional illiteracy enable authoritarian behavior?,Political Psychology,Theoretical,Open,,,Paper,
R28,,Repair After Oppression,Can collective emotional repair restore trust after systemic harm?,"Peace Studies, Sociology",Integration,Open,,,Report,
R29,ND Gradient,Sensory Overload & Emotion,How does sensory overwhelm affect emotional gradient perception?,"Neuroscience, ND Research",Experimental,Open,,,Pilot Study,
R30,,Pattern Recognition Differences,Do ND individuals identify emotional patterns faster or differently?,"Cognitive Science, Psychology",Validation,Open,,,Study,
R31,,Emotional Burnout Cycles,Can visual pacing tools prevent ND burnout?,"Occupational Therapy, Psychology",Intervention,Open,,,Pilot Study,
R32,,ND Empathy Forms,How does ND empathy differ from neurotypical empathy in repair processes?,"Neuroscience, Sociology",Comparative,Open,,,Paper,
R33,Inner Child Map,Reconnection & Repair,Can guided visualization through TEG-Blue maps heal developmental fragmentation?,"Therapy, Somatics",Intervention,Open,,,Pilot Program,
R34,,Narrative Integration,How does rewriting one’s emotional story change nervous system stability?,"Psychology, Trauma",Theoretical,Open,,,Paper,
R35,,Shame Recovery,Can visual gradient tools reduce shame faster than verbal processing alone?,"Neuroscience, Therapy",Experimental,Open,,,Study,
R36,,True Self Indicators,What measurable signs show reconnection with the True Self?,Psychology,Validation,Open,,,Dataset / Study,
R37,Generational Bridge Map,Transgenerational Repair,Can emotional literacy practices reduce emotional distance in families?,"Family Therapy, Education",Intervention,Open,,,Pilot Program,
R38,,Emotional Inheritance Awareness,How do families unconsciously transmit survival-based emotions?,"Sociology, Developmental Psychology",Comparative,Open,,,Paper,
R39,,Storytelling & Repair,Can co-created storytelling exercises rebuild empathy across generations?,"Psychology, Cultural Studies",Experimental,Open,,,Report,
R40,,Intergenerational Shame Cycles,Does visualizing family emotional gradients help release inherited guilt?,Trauma Studies,Validation,Open,,,Study,
R41,Paradox Map,Contradiction & Awareness,Can mapping paradoxes increase self-compassion and cognitive flexibility?,"Psychology, Philosophy",Comparative,Open,,,Paper,
R42,,Emotional Logic Coding,How can emotional logic be expressed as data for ethical AI?,"AI Ethics, Cognitive Science",Integration,Open,,,Dataset / Paper,
R43,,Collective Paradoxes,How do societal contradictions reveal emotional immaturity at scale?,"Sociology, Systems Theory",Theoretical,Open,,,Paper,
R44,,Repair Through Paradox,Can holding dual emotional truths accelerate healing after conflict?,"Therapy, Education",Intervention,Open,,,Pilot Study,
